File	Dataset	Nr	Version	Feet	Inch	Meters	Pixel X	Pixel Y	Pixel Dist	Average	Diff	Ratio
hyang_4.jpg	Hyang	4	A	18	7	5.6642	165	10	165.3027525	163.7269583	3.151588507	0.034265612
hyang_4.jpg	Hyang	4	B	18	7	5.6642	162	7	162.151164	163.7269583	3.151588507	0.034931602
hyang_5.jpg	Hyang	5	A	18	7	5.6642	191	0	191	189.0013369	3.997326222	0.029655497
hyang_5.jpg	Hyang	5	B	18	7	5.6642	187	1	187.0026738	189.0013369	3.997326222	0.030289406
hyang_6.jpg	Hyang	6	A	18	7	5.6642	107	0	107	105.5024038	2.995192419	0.052936449
hyang_6.jpg	Hyang	6	B	18	7	5.6642	104	1	104.0048076	105.5024038	2.995192419	0.054460944
hyang_7.jpg	Hyang	7	A	18	7	5.6642	160	0	160	160	0	0.03540125
hyang_7.jpg	Hyang	7	B	18	7	5.6642	160	0	160	160	0	0.03540125
hyang_8.jpg	Hyang	8	A	23	10	7.2644	0	210	210	208	4	0.034592381
hyang_8.jpg	Hyang	8	B	23	10	7.2644	0	206	206	208	4	0.035264078
hyang_9.jpg	Hyang	9	A	23	10	7.2644	2	191	191.0104709	191.0052355	0.010470917	0.038031423
hyang_9.jpg	Hyang	9	B	23	10	7.2644	0	191	191	191.0052355	0.010470917	0.038033508
hyang_10.jpg	Hyang	10	A	18	7	5.6642	104	1	104.0048076	104.5024038	0.995192419	0.054460944
hyang_10.jpg	Hyang	10	B	18	7	5.6642	105	0	105	104.5024038	0.995192419	0.053944762
hyang_11.jpg	Hyang	11	A	18	7	5.6642	103	0	103	102.5	1	0.054992233
hyang_11.jpg	Hyang	11	B	18	7	5.6642	102	0	102	102.5	1	0.055531373
hyang_12.jpg	Hyang	12	A	21	10	6.6548	0	123	123	121.5	3	0.054104065
hyang_12.jpg	Hyang	12	B	21	10	6.6548	0	120	120	121.5	3	0.055456667
quad_0.jpg	Quad	0	A	42	1	12.827	293	26	294.1513216	294.1513216	0	0.043606807
quad_0.jpg	Quad	0	B	42	1	12.827	293	26	294.1513216	294.1513216	0	0.043606807
quad_1.jpg	Quad	1	A	42	1	12.827	300	31	301.5974138	300.3647458	2.46533593	0.042530206
quad_1.jpg	Quad	1	B	42	1	12.827	298	26	299.1320779	300.3647458	2.46533593	0.042880724
quad_2.jpg	Quad	2	A	42	1	12.827	295	24	295.9746611	296.5142641	1.079206091	0.043338169
quad_2.jpg	Quad	2	B	42	1	12.827	296	25	297.0538672	296.5142641	1.079206091	0.04318072
quad_3.jpg	Quad	3	A	42	1	12.827	288	23	288.9169431	290.0855638	2.337241437	0.044396842
quad_3.jpg	Quad	3	B	42	1	12.827	290	27	291.2541845	290.0855638	2.337241437	0.044040569
coupa_0.jpg	Coupa	0	A	44	11	13.6906	489	5	489.0255617	489.0311851	0.011246727	0.027995674
coupa_0.jpg	Coupa	0	B	44	11	13.6906	489	6	489.0368084	489.0311851	0.011246727	0.02799503
coupa_1.jpg	Coupa	1	A	33	0	10.0584	9	433	433.0935234	432.6167735	0.953499784	0.023224545
coupa_1.jpg	Coupa	1	B	33	0	10.0584	11	432	432.1400236	432.6167735	0.953499784	0.023275789
coupa_3.jpg	Coupa	3	A	33	0	10.0584	394	7	394.0621778	392.5624163	2.999523008	0.025524906
coupa_3.jpg	Coupa	3	B	33	0	10.0584	391	7	391.0626548	392.5624163	2.999523008	0.025720687
little_0.jpg	Little	0	A	28	0	8.5344	0	295	295	294.5	1	0.028930169
little_0.jpg	Little	0	B	28	0	8.5344	0	294	294	294.5	1	0.029028571
little_1.jpg	Little	1	A	28	0	8.5344	0	299	299	298.5	1	0.028543144
little_1.jpg	Little	1	B	28	0	8.5344	0	298	298	298.5	1	0.028638926
little_2.jpg	Little	2	A	28	0	8.5344	0	299	299	297.5	3	0.028543144
little_2.jpg	Little	2	B	28	0	8.5344	0	296	296	297.5	3	0.028832432
little_3.jpg	Little	3	A	28	0	8.5344	0	298	298	297	2	0.028638926
little_3.jpg	Little	3	B	28	0	8.5344	0	296	296	297	2	0.028832432
deathCircle_0.jpg	deathCircle	0	A	20	0	6.096	0	150	150	150	0	0.04064
deathCircle_0.jpg	deathCircle	0	B	20	0	6.096	0	150	150	150	0	0.04064
deathCircle_1.jpg	deathCircle	1	A	20	0	6.096	0	156	156	154.5	3	0.039076923
deathCircle_1.jpg	deathCircle	1	B	20	0	6.096	0	153	153	154.5	3	0.039843137
deathCircle_2.jpg	deathCircle	2	A	20	0	6.096	11	154	154.3923573	154.3583456	0.068023533	0.03948382
deathCircle_2.jpg	deathCircle	2	B	20	0	6.096	10	154	154.3243338	154.3583456	0.068023533	0.039501224
deathCircle_3.jpg	deathCircle	3	A	20	0	6.096	5	214	214.0584032	213.0292016	2.058403245	0.028478209
deathCircle_3.jpg	deathCircle	3	B	20	0	6.096	0	212	212	213.0292016	2.058403245	0.028754717
deathCircle_4.jpg	deathCircle	4	A	20	0	6.096	11	156	156.3873396	156.8527443	0.930809344	0.038980137
deathCircle_4.jpg	deathCircle	4	B	20	0	6.096	10	157	157.318149	156.8527443	0.930809344	0.038749502
bookstore_0.jpg	Bookstore	0	A	44	0	13.4112	349	15	349.3222008	349.8438621	1.043322578	0.038392063
bookstore_0.jpg	Bookstore	0	B	44	0	13.4112	350	16	350.3655234	349.8438621	1.043322578	0.038277739
bookstore_1.jpg	Bookstore	1	A	44	0	13.4112	336	11	336.1800113	334.6508054	3.058411884	0.039892913
bookstore_1.jpg	Bookstore	1	B	44	0	13.4112	333	9	333.1215994	334.6508054	3.058411884	0.040259173
bookstore_2.jpg	Bookstore	2	A	24	0	7.3152	180	5	180.0694311	181.5565708	2.974279573	0.04062433
bookstore_2.jpg	Bookstore	2	B	24	0	7.3152	183	4	183.0437106	181.5565708	2.974279573	0.039964225
bookstore_3.jpg	Bookstore	3	A	24	0	7.3152	187	6	187.0962319	189.0690561	3.945648302	0.039098596
bookstore_3.jpg	Bookstore	3	B	24	0	7.3152	191	4	191.0418802	189.0690561	3.945648302	0.03829108
nexus_0.jpg	Nexus	0	A	28	0	8.5344	3	194	194.0231945	193.5115972	1.02319449	0.043986494
nexus_0.jpg	Nexus	0	B	28	0	8.5344	0	193	193	193.5115972	1.02319449	0.044219689
nexus_1.jpg	Nexus	1	A	28	0	8.5344	3	197	197.0228413	196.0114207	2.022841315	0.043316805
nexus_1.jpg	Nexus	1	B	28	0	8.5344	0	195	195	196.0114207	2.022841315	0.043766154
nexus_2.jpg	Nexus	2	A	28	0	8.5344	2	202	202.0099007	200.5049504	3.009900747	0.042247434
nexus_2.jpg	Nexus	2	B	28	0	8.5344	0	199	199	200.5049504	3.009900747	0.042886432
nexus_3.jpg	Nexus	3	A	28	0	8.5344	0	186	186	185	2	0.045883871
nexus_3.jpg	Nexus	3	B	28	0	8.5344	0	184	184	185	2	0.046382609
nexus_4.jpg	Nexus	4	A	28	0	8.5344	0	186	186	185	2	0.045883871
nexus_4.jpg	Nexus	4	B	28	0	8.5344	0	184	184	185	2	0.046382609
nexus_5.jpg	Nexus	5	A	28	0	8.5344	0	188	188	187.5	1	0.045395745
nexus_5.jpg	Nexus	5	B	28	0	8.5344	0	187	187	187.5	1	0.045638503
nexus_6.jpg	Nexus	6	A	28	0	8.5344	2	225	225.0088887	225.5044444	0.991111287	0.037929168
nexus_6.jpg	Nexus	6	B	28	0	8.5344	0	226	226	225.5044444	0.991111287	0.037762832
nexus_7.jpg	Nexus	7	A	28	0	8.5344	0	230	230	229	2	0.037106087
nexus_7.jpg	Nexus	7	B	28	0	8.5344	0	228	228	229	2	0.037431579
nexus_8.jpg	Nexus	8	A	28	0	8.5344	0	230	230	232	4	0.037106087
nexus_8.jpg	Nexus	8	B	28	0	8.5344	0	234	234	232	4	0.036471795
nexus_9.jpg	Nexus	9	A	28	0	8.5344	0	190	190	191.5	3	0.044917895
nexus_9.jpg	Nexus	9	B	28	0	8.5344	0	193	193	191.5	3	0.044219689
nexus_10.jpg	Nexus	10	A	28	0	8.5344	0	194	194	194	0	0.043991753
nexus_10.jpg	Nexus	10	B	28	0	8.5344	0	194	194	194	0	0.043991753
nexus_11.jpg	Nexus	11	A	28	0	8.5344	0	195	195	195.5	1	0.043766154
nexus_11.jpg	Nexus	11	B	28	0	8.5344	0	196	196	195.5	1	0.043542857
